"","ESV_MiFishU_1","ESV_MiFishU_2","ESV_MiFishU_4","ESV_MiFishU_5","ESV_MiFishU_6","ESV_MiFishU_7","ESV_MiFishU_9","ESV_MiFishU_40","ESV_MiFishU_45","ESV_MiFishU_46","ESV_MiFishU_51","ESV_MiFishU_61","ESV_MiFishU_83","ESV_MiFishU_84","ESV_MiFishU_87","ESV_MiFishU_96","ESV_MiFishU_125","ESV_MiFishU_127","ESV_MiFishU_128","ESV_MiFishU_153","ESV_MiFishU_159","ESV_MiFishU_162","ESV_MiFishU_236","ESV_MiFishU_237","ESV_MiFishU_275","ESV_MiFishU_329","ESV_MiFishU_343","ESV_MiFishU_352","ESV_MiFishU_362","ESV_MiFishU_395","ESV_MiFishU_396","ESV_MiFishU_400","ESV_MiFishU_404","ESV_MiFishU_422","ESV_MiFishU_425","ESV_MiFishU_456","ESV_MiFishU_467","ESV_MiFishU_472","ESV_MiFishU_523","ESV_MiFishU_542","ESV_MiFishU_565","ESV_MiFishU_604","ESV_MiFishU_614","ESV_MiFishU_632","ESV_MiFishU_635","ESV_MiFishU_655","ESV_MiFishU_669","ESV_MiFishU_706","ESV_MiFishU_715","ESV_MiFishU_730","ESV_MiFishU_752","ESV_MiFishU_757","ESV_MiFishU_758","ESV_MiFishU_761","ESV_MiFishU_781","ESV_MiFishU_784","ESV_MiFishU_802","ESV_MiFishU_803","ESV_MiFishU_808","ESV_MiFishU_822","ESV_MiFishU_842","ESV_MiFishU_847","ESV_MiFishU_851","ESV_MiFishU_870","ESV_MiFishU_889","ESV_MiFishU_896","ESV_MiFishU_907","ESV_MiFishU_933","ESV_MiFishU_935","ESV_MiFishU_994","ESV_MiFishU_1033","ESV_MiFishU_1080","ESV_MiFishU_1085","ESV_MiFishU_1095","ESV_MiFishU_1189","ESV_MiFishU_1192","ESV_MiFishU_1198","ESV_MiFishU_1201","ESV_MiFishU_1261","ESV_MiFishU_1270","ESV_MiFishU_1271","ESV_MiFishU_1283","ESV_MiFishU_1284","ESV_MiFishU_1287","ESV_MiFishU_1335","ESV_MiFishU_1348","ESV_MiFishU_1378","ESV_MiFishU_1390","ESV_MiFishU_1391","ESV_MiFishU_1505","ESV_MiFishU_1537","ESV_MiFishU_1663","ESV_MiFishU_1687","ESV_MiFishU_1691","ESV_MiFishU_1722"
"PPO20_081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_084",0,207832,171224,0,367693,0,99,538,0,0,0,0,563,0,0,0,0,7117,7389,0,1062,0,567,0,1852,1045,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,573,0,534,0,0,0,0,0,0,461,0,0,0,0,0,0,0,117,0,0,0,34,0,0,0,0,0,0,0,0,147,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_089",0,652919,56341,132,0,0,101,2170,0,0,44695,22289,197,13106,3264,0,0,0,0,1938,0,0,1804,0,0,148,504,1861,0,476,568,422,0,0,0,682,0,67,450,0,327,0,280,0,364,703,430,604,0,0,382,0,534,88,253,305,466,0,0,0,426,0,420,315,193,379,0,346,0,290,0,160,0,233,137,180,0,174,150,0,0,0,141,78,123,0,0,29,74,66,54,0,0,0,1
"PPO20_090",0,3813,25976,0,5661,29415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_091",18254,90899,35625,0,395663,0,0,1069,17618,0,0,0,0,0,0,10237,7557,0,0,0,0,5728,0,0,0,0,0,0,1806,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,119,0,0,0,0,0,0,0,0,0
"PPO20_092",0,134336,172490,0,145619,64255,0,397,0,21838,0,0,370,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,790,0,0,201,0,0,984,68,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,345,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"PPO20_094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"PPO20_095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_101",0,80700,31425,0,98993,68389,5551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,206,0,0,0,277,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,6,0
"PPO20_103",0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
