"","OTU_11","OTU_55","OTU_24","OTU_44","OTU_28","OTU_48","OTU_23","OTU_14","OTU_21","OTU_29","OTU_2","OTU_15","OTU_25","OTU_22","OTU_27","OTU_34","OTU_17","OTU_33","OTU_10","OTU_16","OTU_41","OTU_54","OTU_19","OTU_30","OTU_31","OTU_4","OTU_47","OTU_6","OTU_50","OTU_58","OTU_40","OTU_12","OTU_8","OTU_43","OTU_51","OTU_26","OTU_13","OTU_3","OTU_57","OTU_7","OTU_18","OTU_20","OTU_1","OTU_42","OTU_53","OTU_45","OTU_5","OTU_52","OTU_37","OTU_36","OTU_39","OTU_49","OTU_35","OTU_46","OTU_56","OTU_32","OTU_9","OTU_38"
"PPO20_002",0,175410,0,67630,0,80686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
"PPO20_003",0,110484,0,226505,0,48764,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,1886,0,0,0,0,0,0,0,91,0,0
"PPO20_004",0,5209,0,203360,0,0,0,0,130687,0,0,0,0,0,0,0,231201,0,178227,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,1269,0,138,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_005",96322,82127,0,336042,121,268915,97,122,0,95,251,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,192,0,7903,0,0,423,0,92,0,21,0,0,0,0,1259,0,2009,0,0,0,0,0,0,0,191,0,0,0,0
"PPO20_006",0,237,0,160855,0,65912,262108,0,0,0,367,0,50,0,66941,0,15359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7273,0,0,0,0,0,0,0,0,0,97,0,0,0,57,0,0,0,0,0,0,0,0
"PPO20_008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"PPO20_009",0,232482,0,0,0,6608,0,0,117,0,0,0,0,323551,0,0,0,0,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_010",0,724,0,0,0,67264,370,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_011",112989,0,0,0,0,0,100,101,309539,0,8126,0,0,0,321426,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,80,537,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
"PPO20_014",7652,13995,0,407,0,3975,0,0,4824,0,0,0,0,34908,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,21,0,0,415,0,0,0,0,0
"PPO20_015",0,7291,2653,1069,0,3066,0,0,0,0,0,793,108,0,0,153,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"PPO20_016",15578,95959,0,314460,0,114154,0,0,0,0,0,0,0,0,0,81835,0,0,0,0,0,463,0,0,9,0,16761,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_017",61,0,0,0,143,0,108,0,0,0,124,667496,51,0,60451,0,0,0,0,0,0,0,89711,0,45284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,39,0,0,0,0,0,0,0,0
"PPO20_018",157456,291003,0,0,0,0,0,0,0,0,64941,0,0,0,46317,0,0,0,0,0,0,1964,0,0,0,0,0,0,0,441,0,0,0,0,0,0,125,252,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0
"PPO20_020",0,50346,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_021",0,501975,0,215129,161,82925,106,117,97,0,0,0,0,0,0,0,0,0,0,0,0,4153,0,0,0,0,0,0,0,2691,0,0,0,7831,290,0,0,0,345,0,0,0,0,1241,2717,647,0,308,0,87,0,511,6,0,0,0,0,0
"PPO20_022",0,326605,0,298167,0,0,0,0,0,0,7039,0,0,0,0,0,0,0,0,0,0,1969,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_029",0,0,0,0,0,0,0,0,0,0,0,0,0,6260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,48,0,0,0,0,0
"PPO20_031",0,219267,0,0,118,196983,0,0,91,0,44293,0,0,0,0,0,0,0,0,0,117792,793,0,0,0,7996,0,0,8574,620,10244,0,0,0,852,0,0,129,572,0,0,0,0,0,0,0,0,0,0,0,1224,0,0,0,0,0,0,0
"PPO20_032",0,0,0,0,0,0,0,0,0,0,518759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32562,0,7514,0,0,0,0,8375,0,0,0,0,5648,0,3669,0,0,3575,0,0,0,2328,0,0,60,0,0,0,0,0,0,41,17
"PPO20_033",0,0,0,0,0,0,120,0,662396,94,2170,0,0,0,0,0,0,10,0,0,0,0,3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,3512,2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
