"","OTU_48","OTU_94","OTU_153","OTU_26","OTU_32","OTU_46","OTU_17","OTU_53","OTU_22","OTU_139","OTU_91","OTU_21","OTU_18","OTU_160","OTU_47","OTU_185","OTU_158","OTU_73","OTU_24","OTU_95","OTU_155","OTU_50","OTU_55","OTU_146","OTU_67","OTU_51","OTU_156","OTU_183","OTU_145","OTU_186","OTU_130","OTU_157","OTU_61","OTU_171","OTU_52","OTU_120","OTU_11","OTU_66","OTU_15","OTU_187","OTU_110","OTU_161","OTU_134","OTU_184","OTU_182","OTU_58","OTU_102","OTU_159","OTU_100","OTU_25","OTU_97","OTU_107","OTU_12","OTU_64","OTU_88","OTU_163","OTU_60","OTU_140","OTU_89","OTU_127","OTU_16","OTU_103","OTU_1","OTU_6","OTU_101","OTU_49","OTU_113","OTU_98","OTU_172","OTU_83","OTU_68","OTU_27","OTU_84","OTU_43","OTU_128","OTU_106","OTU_119","OTU_2","OTU_42","OTU_65","OTU_96","OTU_115","OTU_80","OTU_125","OTU_131","OTU_19","OTU_180","OTU_151","OTU_87","OTU_35","OTU_54","OTU_112","OTU_33","OTU_30","OTU_147","OTU_189","OTU_78","OTU_76","OTU_62","OTU_122","OTU_173","OTU_176","OTU_93","OTU_45","OTU_37","OTU_28","OTU_164","OTU_169","OTU_181","OTU_150","OTU_99","OTU_13","OTU_8","OTU_85","OTU_3","OTU_9","OTU_108","OTU_148","OTU_116","OTU_149","OTU_38","OTU_77","OTU_81","OTU_104","OTU_129","OTU_109","OTU_136","OTU_74","OTU_63","OTU_86","OTU_4","OTU_10","OTU_135","OTU_34","OTU_188","OTU_123","OTU_144","OTU_72","OTU_178","OTU_92","OTU_29","OTU_36","OTU_70","OTU_142","OTU_20","OTU_105","OTU_14","OTU_121","OTU_90","OTU_40","OTU_41","OTU_170","OTU_168","OTU_132","OTU_44","OTU_7","OTU_31","OTU_174","OTU_179","OTU_71","OTU_59","OTU_56","OTU_82","OTU_138","OTU_141","OTU_69","OTU_5","OTU_124","OTU_166","OTU_137","OTU_152","OTU_133","OTU_39","OTU_23","OTU_175","OTU_162","OTU_118","OTU_111","OTU_114","OTU_126","OTU_117","OTU_79","OTU_165","OTU_75","OTU_154","OTU_143","OTU_167","OTU_177","OTU_57"
"PPO20_002",47,0,55,81,0,35,24,5,0,7,19,0,0,0,32,61,0,47,0,0,11,10,0,32,0,29,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,94,0,0,0,0,8,0,0,0,0,0,0,15,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_003",48,0,31,20,0,10,8,18,12,0,8,0,0,9,0,147,0,22,0,0,6,10,5,6,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_004",31,0,20,0,0,0,0,13,0,27,0,0,0,0,0,56,12,70,24,0,0,0,0,0,13,17,0,0,0,0,11,0,0,0,8,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_005",32,0,27,0,0,0,0,0,0,35,0,0,0,0,0,30,23,134,0,10,0,0,0,0,19,34,0,0,45,0,0,0,11,0,4,6,0,0,0,0,0,0,0,67,0,0,0,31,0,0,18,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,27,0,0,0,0,0,8,0,0,0,0,0,0,7,0,25,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,12,0,0,0,0,11,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,5,5,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_006",68,0,10,0,0,0,0,16,0,0,0,0,0,16,0,0,18,37,0,0,0,0,0,0,0,16,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,2,8,0,0,0,0,0,22,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_008",19,88,40,83,0,76,10,34,0,15,0,0,0,0,25,0,0,0,0,35,10,11,0,139,0,60,0,5,25,0,0,0,0,0,0,0,0,2,49,6,0,0,0,17,4,0,0,0,90,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,0,5,0,31,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,14,0,0,0,0,9,0,20,0,0,0,0,19,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_009",70,0,23,47,0,0,8,9,10,0,28,0,0,0,30,47,9,39,0,0,0,0,5,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_010",27,0,0,0,0,0,0,7,0,7,0,0,0,10,0,8,0,31,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_011",65,0,12,0,0,0,0,12,0,0,0,0,6,0,0,8,19,82,0,0,0,0,9,0,6,0,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,3,0,0,0,92,5,0,0,0,0,5,0,0,0,0,0,21,0,18,0,0,3,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_012",159,0,10,14,0,21,0,37,31,12,0,0,23,0,0,8,25,78,14,0,0,21,0,2,0,16,0,16,42,0,0,39,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,0,7,0,0,3,0,0,0,0,9,0,0,0,150,0,54,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_014",0,0,24,46,0,0,0,0,0,19,0,0,0,0,0,9,14,0,0,0,0,0,0,57,6,0,0,0,14,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_015",22,29,45,70,0,24,0,16,16,94,13,0,17,12,0,56,18,42,19,9,0,14,0,20,0,30,0,0,17,0,0,16,0,0,0,0,0,0,13,0,0,0,4,13,0,0,0,0,0,0,31,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,5,15,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"PPO20_016",151,34,63,53,0,32,31,16,20,66,35,16,37,0,0,17,15,28,22,13,9,30,24,0,0,42,0,0,11,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,17,0,0,3,11,0,0,6,0,3,7,0,0,0,11,0,0,16,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_017",106,75,20,18,0,44,25,23,11,156,0,28,60,40,0,75,12,130,20,0,0,0,21,0,0,17,0,0,16,0,11,17,12,0,9,0,0,18,0,0,0,0,0,18,0,0,0,0,0,14,10,0,0,0,0,7,0,0,6,0,0,0,0,0,14,0,0,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,2,0,0,0,8,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_018",89,0,9,0,0,21,0,9,0,42,7,0,12,14,0,28,16,95,0,8,0,0,0,0,0,0,0,0,16,0,0,9,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0
"PPO20_020",0,0,594,64,0,49,11,10,0,0,10,0,0,0,0,138,0,0,9,7,0,11,0,11,0,16,9,0,9,0,0,0,24,25,0,6,0,0,0,18,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_021",32,0,572,41,0,50,9,18,0,0,14,0,0,0,0,253,16,0,0,0,43,0,0,0,10,24,0,0,10,0,0,6,17,0,17,0,259,0,0,0,0,0,0,0,0,0,0,0,34,0,10,0,41,7,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
"PPO20_022",63,0,72,0,0,8,0,13,12,0,6,0,0,0,0,25,32,49,11,0,11,19,0,0,0,0,0,0,44,0,6,31,0,0,9,0,6,0,0,0,3,0,0,11,0,15,394,0,72,0,13,0,0,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,24,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,8,0,0,0,5,0,0,0,7,7,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PPO20_024",159,0,136,0,0,0,0,0,20,22,0,0,0,8,0,6,92,33,12,0,0,0,0,0,0,0,0,20,58,0,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,8,0,14,0,11,8,0,0,4,65,8,0,55,0,0,0,0,14,0,0,22,0,12,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,3,7,13,0,0,0,20,20,0,0,0,6,0,19,0,24,4,0,0,0,0,0,0,4,0,4,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,8,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"PPO20_025",0,0,1579,43,0,20,7,7,0,0,12,0,0,0,0,23,0,0,0,0,0,24,0,0,0,20,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"PPO20_026",123,0,48,24,0,15,32,7,11,0,58,0,0,0,20,11,0,0,24,0,35,21,29,0,0,157,0,0,0,0,0,7,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,0,0,0,90,130,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_027",50,0,28,0,0,0,0,14,15,0,21,0,0,0,15,31,0,8,0,0,32,36,0,0,0,68,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,106,0,13,0,21,0,0,0,0,0,0,13,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"PPO20_029",0,0,22,0,0,0,0,8,0,0,0,0,0,0,44,15,17,43,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,17,0,0,0,0,0,4,0,19,0,0,55,0,0,0,9,0,0,10,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_030",0,0,2043,20,20,80,28,20,0,0,12,0,0,0,118,13,8,0,5,0,0,17,0,0,0,24,0,0,0,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_031",28,0,394,15,24,31,8,0,0,6,13,0,0,0,0,160,99,196,0,0,14,9,7,0,0,0,0,0,23,0,3,30,15,0,0,3,0,0,0,0,0,0,0,11,0,7,0,0,0,0,20,0,13,5,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,7,4,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_032",0,0,34,0,0,0,0,5,0,3,0,3,0,0,25,17,73,104,0,0,0,0,0,0,0,15,0,0,24,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,4,0,0,0,0,35,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
"PPO20_033",43,0,14,0,0,0,0,0,0,0,0,0,0,0,0,21,59,37,0,0,0,0,0,0,0,0,0,0,49,0,0,13,0,0,3,0,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
