"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif","Season"
"1",0.845555555555556,0.10838278941255,0.154,0.154,"Depth|2D","no","Fall"
"2",1.69111111111111,-0.0228196445376556,0.342,0.684,"Depth|2D","no","Fall"
"3",2.53666666666667,-0.0361809535703068,0.31,0.93,"Depth|2D","no","Fall"
"4",3.38222222222222,-0.186021818813752,0.006,0.024,"Depth|2D","yes","Fall"
"5",4.22777777777778,-0.180004894364231,0.06,0.3,"Depth|2D","no","Fall"
"6",5.07333333333333,-0.143527005946486,0.035,0.21,"Depth|2D","no","Fall"
"7",5.91888888888889,0.0933873699512028,0.152,1.064,"Depth|2D","no","Fall"
"8",6.76444444444444,0.00886885368394424,0.472,3.776,"Depth|2D","no","Fall"
"9",8.61,0.238752636802079,0.019,0.171,"Depth|2D","no","Fall"
"10",26.4172456158289,0.232139732934869,0.004,0.004,"2D|Depth","yes","Fall"
"11",52.8344912316577,-0.202788040952256,0.002,0.004,"2D|Depth","yes","Fall"
"12",79.2517368474866,0.0940785988321087,0.075,0.225,"2D|Depth","no","Fall"
"13",105.668982463315,-0.0886964366638627,0.087,0.348,"2D|Depth","no","Fall"
"14",132.086228079144,-0.0918823601744641,0.216,1.08,"2D|Depth","no","Fall"
"15",158.503473694973,-0.116488877383332,0.088,0.528,"2D|Depth","no","Fall"
"16",184.920719310802,0.0752751649903784,0.188,1.316,"2D|Depth","no","Fall"
"17",211.337964926631,0.16327173984707,0.01,0.08,"2D|Depth","no","Fall"
"18",238.75521054246,-0.214424369404025,0.002,0.018,"2D|Depth","yes","Fall"
"19",26.4289890036337,0.158134078221269,0.011,0.011,"3D","yes","Fall"
"20",52.8579780072673,-0.214256326641646,0.001,0.002,"3D","yes","Fall"
"21",79.286967010901,0.0631681382114496,0.171,0.513,"3D","no","Fall"
"22",105.715956014535,-0.0944048216235066,0.065,0.26,"3D","no","Fall"
"23",132.144945018168,-0.0917445725772091,0.251,1.255,"3D","no","Fall"
"24",158.573934021802,-0.108842543094131,0.088,0.528,"3D","no","Fall"
"25",185.002923025436,0.0901351280197115,0.105,0.735,"3D","no","Fall"
"26",211.431912029069,0.17652560063296,0.004,0.032,"3D","yes","Fall"
"27",238.860901032703,-0.169545212973427,0.017,0.153,"3D","no","Fall"
"28",2.97076923076923,0.0289774333594394,0.169,0.169,"Depth|2D","no","Summer"
"29",5.94153846153846,-0.113243043226742,0.002,0.004,"Depth|2D","yes","Summer"
"30",8.91230769230769,0.0611350142569873,0.006,0.018,"Depth|2D","yes","Summer"
"31",11.8830769230769,0.00964514364421109,0.339,1.356,"Depth|2D","no","Summer"
"32",14.8538461538462,0.00993288593951335,0.38,1.9,"Depth|2D","no","Summer"
"33",17.8246153846154,0.0633361980649261,0.028,0.168,"Depth|2D","no","Summer"
"34",20.7953846153846,0.0404376346331014,0.111,0.777,"Depth|2D","no","Summer"
"35",23.7661538461538,0.0458543413135387,0.045,0.36,"Depth|2D","no","Summer"
"36",26.7369230769231,0.0727471797862084,0.017,0.153,"Depth|2D","no","Summer"
"37",29.7076923076923,-0.12020742754728,0.001,0.01,"Depth|2D","yes","Summer"
"38",32.6784615384615,-0.0532632131689764,0.051,0.561,"Depth|2D","no","Summer"
"39",35.6492307692308,-0.00627614549069952,0.408,4.896,"Depth|2D","no","Summer"
"40",39.62,0.0214083038745901,0.249,3.237,"Depth|2D","no","Summer"
"41",71.1757842493228,0.056018944484554,0.033,0.033,"2D|Depth","yes","Summer"
"42",142.351568498646,-0.0773997637411363,0.004,0.008,"2D|Depth","yes","Summer"
"43",213.527352747968,-0.0531739881770425,0.016,0.048,"2D|Depth","yes","Summer"
"44",284.703136997291,0.0631205810141282,0.015,0.06,"2D|Depth","no","Summer"
"45",355.878921246614,-0.0317094505682553,0.171,0.855,"2D|Depth","no","Summer"
"46",427.054705495937,0.0129048458800747,0.34,2.04,"2D|Depth","no","Summer"
"47",498.23048974526,0.0752895551193375,0.029,0.203,"2D|Depth","no","Summer"
"48",569.406273994582,0.104704587256317,0.001,0.008,"2D|Depth","yes","Summer"
"49",640.582058243905,-0.0789902455243854,0.009,0.081,"2D|Depth","no","Summer"
"50",711.757842493228,-0.0775997783151387,0.016,0.16,"2D|Depth","no","Summer"
"51",782.933626742551,-0.0247866272618732,0.187,2.057,"2D|Depth","no","Summer"
"52",854.109410991874,-0.00816272726095185,0.369,4.428,"2D|Depth","no","Summer"
"53",926.285195241196,0.0102513535140393,0.385,5.005,"2D|Depth","no","Summer"
"54",71.2361614063287,0.175447469154228,0.001,0.001,"3D","yes","Summer"
"55",142.472322812657,0.0188365309849192,0.27,0.54,"3D","no","Summer"
"56",213.708484218986,0.0173489723472213,0.307,0.921,"3D","no","Summer"
"57",284.944645625315,0.0908183679662193,0.002,0.008,"3D","yes","Summer"
"58",356.180807031644,-0.0100921198579641,0.406,2.03,"3D","no","Summer"
"59",427.416968437972,0.00251714609897869,0.481,2.886,"3D","no","Summer"
"60",498.653129844301,0.0145231651641288,0.371,2.597,"3D","no","Summer"
"61",569.88929125063,0.0310484541629889,0.205,1.64,"3D","no","Summer"
"62",641.125452656958,-0.151960676650478,0.001,0.009,"3D","yes","Summer"
"63",712.361614063287,-0.16360217219231,0.001,0.01,"3D","yes","Summer"
"64",783.597775469616,-0.0705882218854042,0.011,0.121,"3D","no","Summer"
"65",854.833936875944,-0.116326954694344,0.001,0.012,"3D","yes","Summer"
"66",927.070098282273,-0.133950213050723,0.001,0.013,"3D","yes","Summer"
"67",2.85333333333333,0.0375640590105092,0.093,0.093,"Depth|2D","no","Spring"
"68",5.70666666666667,-0.00954338458583357,0.351,0.702,"Depth|2D","no","Spring"
"69",8.56,-0.0432838666940023,0.09,0.27,"Depth|2D","no","Spring"
"70",11.4133333333333,0.0268241744845194,0.187,0.748,"Depth|2D","no","Spring"
"71",14.2666666666667,-0.016813994386325,0.333,1.665,"Depth|2D","no","Spring"
"72",17.12,-0.0493030297789811,0.097,0.582,"Depth|2D","no","Spring"
"73",19.9733333333333,-0.00837419415308724,0.369,2.583,"Depth|2D","no","Spring"
"74",22.8266666666667,0.0154046428065803,0.277,2.216,"Depth|2D","no","Spring"
"75",25.68,0.0942648979366073,0.002,0.018,"Depth|2D","yes","Spring"
"76",28.5333333333333,0.0828329656489672,0.003,0.03,"Depth|2D","yes","Spring"
"77",31.3866666666667,0.0258799083845729,0.156,1.716,"Depth|2D","no","Spring"
"78",35.24,-0.0426392260348316,0.022,0.264,"Depth|2D","no","Spring"
"79",73.2079403584048,0.0756281169027163,0.015,0.015,"2D|Depth","yes","Spring"
"80",146.41588071681,-0.0117338405653512,0.344,0.688,"2D|Depth","no","Spring"
"81",219.623821075214,-0.0523932372422886,0.077,0.231,"2D|Depth","no","Spring"
"82",292.831761433619,0.0226422710802041,0.223,0.892,"2D|Depth","no","Spring"
"83",366.039701792024,0.0253472423972335,0.28,1.4,"2D|Depth","no","Spring"
"84",439.247642150429,-0.150960574882014,0.001,0.006,"2D|Depth","yes","Spring"
"85",512.455582508834,0.101589161262307,0.001,0.007,"2D|Depth","yes","Spring"
"86",585.663522867238,NA,NA,NA,"2D|Depth",NA,"Spring"
"87",658.871463225643,0.0936382294142355,0.002,0.018,"2D|Depth","yes","Spring"
"88",732.079403584048,0.0799183621442709,0.005,0.05,"2D|Depth","no","Spring"
"89",805.287343942453,0.00179574059179233,0.427,4.697,"2D|Depth","no","Spring"
"90",879.495284300858,-0.0206239679218938,0.208,2.496,"2D|Depth","no","Spring"
"91",73.2594791666563,0.125629759468401,0.001,0.001,"3D","yes","Spring"
"92",146.518958333313,0.0227311140597774,0.245,0.49,"3D","no","Spring"
"93",219.778437499969,-0.0350506956265904,0.165,0.495,"3D","no","Spring"
"94",293.037916666625,0.0223050289621079,0.231,0.924,"3D","no","Spring"
"95",366.297395833282,0.00923378774534528,0.41,2.05,"3D","no","Spring"
"96",439.556874999938,-0.182514579293447,0.001,0.006,"3D","yes","Spring"
"97",512.816354166594,0.0675408721711793,0.029,0.203,"3D","no","Spring"
"98",586.075833333251,NA,NA,NA,"3D",NA,"Spring"
"99",659.335312499907,0.0611783965264308,0.034,0.306,"3D","no","Spring"
"100",732.594791666563,0.0405819771590788,0.12,1.2,"3D","no","Spring"
"101",805.85427083322,-0.0212015006968236,0.231,2.541,"3D","no","Spring"
"102",880.113749999876,-0.079509475730138,0.041,0.492,"3D","no","Spring"
