"","ESV_MiFishU_1","ESV_MiFishU_2","ESV_MiFishU_3","ESV_MiFishU_4","ESV_MiFishU_5","ESV_MiFishU_6","ESV_MiFishU_7","ESV_MiFishU_8","ESV_MiFishU_9","ESV_MiFishU_10","ESV_MiFishU_11","ESV_MiFishU_13","ESV_MiFishU_14","ESV_MiFishU_15","ESV_MiFishU_16","ESV_MiFishU_19","ESV_MiFishU_20","ESV_MiFishU_30","ESV_MiFishU_31","ESV_MiFishU_34","ESV_MiFishU_39","ESV_MiFishU_40","ESV_MiFishU_42","ESV_MiFishU_43","ESV_MiFishU_62","ESV_MiFishU_63","ESV_MiFishU_66","ESV_MiFishU_83","ESV_MiFishU_99","ESV_MiFishU_109","ESV_MiFishU_118","ESV_MiFishU_131","ESV_MiFishU_140","ESV_MiFishU_159","ESV_MiFishU_181","ESV_MiFishU_194","ESV_MiFishU_217","ESV_MiFishU_250","ESV_MiFishU_259","ESV_MiFishU_272","ESV_MiFishU_286","ESV_MiFishU_287","ESV_MiFishU_309","ESV_MiFishU_311","ESV_MiFishU_334","ESV_MiFishU_375","ESV_MiFishU_378","ESV_MiFishU_381","ESV_MiFishU_396","ESV_MiFishU_400","ESV_MiFishU_401","ESV_MiFishU_404","ESV_MiFishU_427","ESV_MiFishU_434","ESV_MiFishU_435","ESV_MiFishU_447","ESV_MiFishU_454","ESV_MiFishU_457","ESV_MiFishU_466","ESV_MiFishU_472","ESV_MiFishU_476","ESV_MiFishU_479","ESV_MiFishU_488","ESV_MiFishU_505","ESV_MiFishU_515","ESV_MiFishU_540","ESV_MiFishU_545","ESV_MiFishU_549","ESV_MiFishU_552","ESV_MiFishU_554","ESV_MiFishU_556","ESV_MiFishU_559","ESV_MiFishU_564","ESV_MiFishU_565","ESV_MiFishU_592","ESV_MiFishU_596","ESV_MiFishU_605","ESV_MiFishU_606","ESV_MiFishU_611","ESV_MiFishU_615","ESV_MiFishU_618","ESV_MiFishU_648","ESV_MiFishU_671","ESV_MiFishU_684","ESV_MiFishU_794","ESV_MiFishU_798","ESV_MiFishU_809","ESV_MiFishU_811","ESV_MiFishU_820","ESV_MiFishU_827","ESV_MiFishU_850","ESV_MiFishU_860","ESV_MiFishU_886","ESV_MiFishU_918","ESV_MiFishU_921","ESV_MiFishU_942","ESV_MiFishU_948","ESV_MiFishU_953","ESV_MiFishU_969","ESV_MiFishU_981","ESV_MiFishU_982","ESV_MiFishU_988","ESV_MiFishU_1004","ESV_MiFishU_1016","ESV_MiFishU_1021","ESV_MiFishU_1022","ESV_MiFishU_1031","ESV_MiFishU_1033","ESV_MiFishU_1041","ESV_MiFishU_1079","ESV_MiFishU_1082","ESV_MiFishU_1094","ESV_MiFishU_1115","ESV_MiFishU_1121","ESV_MiFishU_1122","ESV_MiFishU_1125","ESV_MiFishU_1139","ESV_MiFishU_1140","ESV_MiFishU_1205","ESV_MiFishU_1266","ESV_MiFishU_1268","ESV_MiFishU_1271","ESV_MiFishU_1290","ESV_MiFishU_1302","ESV_MiFishU_1312","ESV_MiFishU_1318","ESV_MiFishU_1326","ESV_MiFishU_1371","ESV_MiFishU_1372","ESV_MiFishU_1433","ESV_MiFishU_1434","ESV_MiFishU_1439","ESV_MiFishU_1440","ESV_MiFishU_1451","ESV_MiFishU_1478","ESV_MiFishU_1485","ESV_MiFishU_1523","ESV_MiFishU_1528","ESV_MiFishU_1552","ESV_MiFishU_1566","ESV_MiFishU_1568","ESV_MiFishU_1576","ESV_MiFishU_1579","ESV_MiFishU_1593","ESV_MiFishU_1624","ESV_MiFishU_1641","ESV_MiFishU_1643","ESV_MiFishU_1652","ESV_MiFishU_1665","ESV_MiFishU_1667","ESV_MiFishU_1668","ESV_MiFishU_1685","ESV_MiFishU_1688","ESV_MiFishU_1694","ESV_MiFishU_1698","ESV_MiFishU_1711","ESV_MiFishU_1721"
"BlankpcrCES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEG_PCR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEG_PCR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEG_PCR3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEG_PCR4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEG_PCR5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEG_PCR6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEG_PCR7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEG_PCR8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POS_PCR1",0,280,19083,136943,0,88340,0,0,0,306345,159,0,36287,37,0,0,0,0,0,87266,0,0,0,0,775,0,0,1244,0,0,0,0,6739,327,0,0,3768,0,2863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394,0,0,0,0,0,159,403,0,0,0,0,0,0,0,0,131,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,218,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POS_PCR2",6394,31600,3668,15644,0,0,2327,0,0,50108,115,6867,11089,0,0,0,0,576,0,8099,0,0,0,0,0,0,26130,0,0,0,0,7154,0,0,0,0,0,0,0,0,0,0,0,0,236,0,1685,0,0,243,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POS_PCR3",64217,302,0,66159,150,0,111,112,0,534799,210,0,0,52,0,60,0,192009,0,4404,0,0,79465,0,31816,31907,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1397,0,0,0,0,0,0,302,0,526,0,0,985,0,0,0,0,226,0,0,0,0,0,189,192,0,0,150,0,0,0,0,470,0,342,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,212,0,0,0,0,147,0,79,0,0,0,0,0,0,0,86,0,0,82,0,71,0,0,0,0,46,44,43,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"POS_PCR4",0,2442,0,5906,0,1753,0,0,723,61333,113,4854,2990,0,0,0,0,0,0,77217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,121,941,0,0,0,0,0,0,0,0,807,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_208",0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_233",0,0,0,0,0,0,0,0,0,0,2229,0,0,0,0,151531,0,0,0,0,0,0,0,0,0,0,0,0,3801,0,0,0,0,0,0,4587,0,0,0,0,0,0,996,0,0,0,0,0,0,0,502,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,367,0,0,221,839,0,0,0,0,0,363,0,0,0,0,0,0,128,137,0,0,83,0,118,112,118,0,94,0,69,295,0,0,0,0,272,0,80,0,241,0,0,214,214,0,63,74,0,0,0,0,0,0,130,0,126,0,0,0,0,0,0,0,73,0,0,0,0,47,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"PPO20_234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_237",0,0,0,0,0,0,0,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPO20_241",0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
